JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
4612.99,1.13E-10,1.52E-13,-0.0448,0.0031,0.0421,0.0032,1.936,0.003
4617.99,1.32E-10,2.65E-13,0.0024,0.0042,0.0562,0.0139,1.893,0.005
4623.02,1.54E-10,2.96E-13,-0.0078,0.0029,0.0807,0.0056,1.783,0.003
4624,1.54E-10,2.27E-13,-0.0375,0.0038,0.0361,0.0022,1.84,0.006
4685.32,7.07E-11,3.73E-13,-0.0503,0.0038,0.0946,0.0132,1.87,0.009
4690.31,6.63E-11,1.18E-13,-0.0228,0.0013,0.0444,0.005,1.847,0.003
4691.28,7.42E-11,3.20E-13,-0.0659,0.0032,0.1153,0.0019,1.925,0.007
4703.32,9.01E-11,3.79E-13,-0.1336,0.0036,-0.013,0.0029,1.937,0.007
4709.96,7.84E-11,3.32E-13,-0.0501,0.0077,0.0197,0.0064,1.792,0.006
4711.31,7.99E-11,2.03E-13,0.0072,0.0015,0.018,0.0038,1.808,0.004
4713.28,6.94E-11,1.77E-13,0.0233,0.0021,-0.0063,0.0024,1.854,0.004
4714.32,7.37E-11,1.23E-13,-0.0298,0.0035,0.0128,0.0018,1.877,0.004
4715.33,8.13E-11,1.04E-13,-0.0342,0.0023,-0.0081,0.0054,1.89,0.003
4717.29,7.90E-11,6.73E-14,-0.002,0.0009,0.0099,0.0012,1.853,0.005
4718.32,7.83E-11,1.44E-13,0.0056,0.0013,0.0346,0.0017,1.883,0.003
4720.27,9.19E-11,2.32E-13,0.0663,0.0026,0.0656,0.0016,1.842,0.005
4729.29,8.52E-11,1.79E-13,0.0281,0.0022,0.0973,0.0016,1.933,0.003
4747.27,8.32E-11,1.53E-13,-0.003,0.0016,0.1038,0.0033,1.894,0.003
4748.25,1.04E-10,3.08E-13,0.0405,0.0058,0.0659,0.0025,1.857,0.011
4749.17,1.12E-10,4.57E-13,0.0151,0.0012,0.0325,0.0266,1.84,0.008
4751.1,1.46E-10,2.95E-13,-0.0325,0.0012,0.0084,0.0116,1.792,0.005
4752.26,1.51E-10,2.03E-13,0.0336,0.0008,-0.0166,0.0025,1.74,0.002
4754.31,1.48E-10,3.69E-13,-0.0447,0.0015,0.0523,0.0025,1.816,0.004
4755.36,1.43E-10,2.23E-13,-0.0192,0.0012,0.0363,0.0035,1.791,0.002
4756.25,1.24E-10,2.63E-13,-0.1099,0.0024,0.0604,0.0028,1.872,0.004
4757.22,1.09E-10,2.81E-13,-0.056,0.0007,0.0431,0.002,1.883,0.004
4758.2,9.77E-11,1.47E-13,-0.0252,0.0017,0.0766,0.0013,1.885,0.002
